0.043527 74
a1 a2 kldiv weight
CObb CHR1 0.009887636608858536 16.792855623746664
OCbb CHR1 0.002418249217428755 21.307275752662516
Nbb CHR1 0.009025990154038776 14.212670403551895
CHR2 CHR1 0.015156814204797999 21.6794833886788
HapR CHR1 0.014894135827440943 30.199337741083
CObb HapR 0.0036657427209973257 26.92582403567252
HapR OCbb 0.008759859066877035 30.133038346638727
CHR2 HapR 0.0052848465778367925 29.24038303442689
HapR HapR 0.004250043355324785 27.23967694375247
CAbb CHR1 0.02633878749067585 19.261360284258224
CAbb HapR 0.014535267501532702 26.68332812825267
CHR2 OH 0.03861639657694941 12.489995996796797
OH CHR1 0.03009155875154999 13.674794331177344
OOC CAbb 0.015934100377373556 10.908712114635714
OOC CHR1 0.04291825918398803 16.583123951777
CHR1 CHR1 0.048747819656747106 18.734993995195193
OOC HapR 0.017919421933408185 16.431676725154983
Nbb OCbb 0.1355156550507719 29.257477676655586
CAbb OCbb 0.029805461845155562 39.14077158156185
CAbb CAbb 0.01801218398537315 15.394804318340652
OCbb CH3 0.05766361441926864 25.15949125081825
CObb CAbb 0.019834127074616122 21.587033144922902
Nbb CAbb 0.025010984642590845 12.288205727444508
CObb OCbb 0.14868557956419592 29.427877939124322
CH2 OCbb 0.039268777891250786 20.049937655763422
aroC CH3 0.01632224375503539 36.76955262170047
CHR2 aroC 0.011390327254489322 23.769728648009426
HapR aroC 0.0019215177200586468 32.01562118716424
CH0 HapR 0.036169852649190544 15.132745950421556
CHR2 CObb 0.007719389416886638 17.4928556845359
CHR2 OCbb 0.006231832735770013 23.345235059857504
CAbb OH 0.06804820486174434 11.045361017187261
CObb CH3 0.03107154542902446 23.280893453645632
CAbb CH3 0.009410715389155463 24.779023386727733
Nbb CObb 0.09241434890754263 27.2213151776324
CHR2 CHR2 0.025376086858392027 15.394804318340652
HapR OH 0.01207737023138111 15.937377450509228
CH0 CH3 0.005389958028140128 15.556349186104045
HapR CH3 0.009646473014070706 32.83291031876401
Nbb HapR 0.01974921898959054 19.131126469708992
CHR2 CH3 0.005621744587370044 24.95996794869737
CAbb aroC 0.005576282479113017 25.059928172283335
CH3 CHR1 0.027822326568974313 22.561028345356956
CH1 HapR 0.02513309419453868 13.19090595827292
aroC OCbb 0.0934660038961242 21.633307652783937
OCbb OCbb 0.07083136169163513 14.317821063276353
Nbb aroC 0.0024069856355809546 19.0
CH2 CH3 0.006526747129642542 26.115129714401192
CH3 CH3 0.019932798709079397 32.357379374726875
CObb aroC 0.008719664053817862 23.194827009486403
CHR2 CAbb 0.006521505216327918 17.4928556845359
CHR2 Nbb 0.026889387903550627 12.165525060596439
CH2 CHR1 0.028265259628845872 15.264337522473747
CH2 HapR 0.006913745632577105 22.135943621178654
CH2 CAbb 0.02468962013391762 15.329709716755891
CH2 CHR2 0.018545558182769022 15.937377450509228
CH1 OCbb 0.025376483389196125 12.449899597988733
OH CH3 0.08687747583959701 10.723805294763608
Nbb CH3 0.043424169585062525 18.867962264113206
CH2 CObb 0.01019855678494969 15.231546211727817
CH2 aroC 0.01878163481285413 24.515301344262525
aroC aroC 0.01895067591629093 18.867962264113206
CH1 aroC 0.017733355625982092 14.7648230602334
CH2 CH2 0.02404916744035613 11.0
CH1 CH3 0.01769341154325215 16.401219466856727
HapR Narg 0.10530402731654574 11.445523142259598
CHR1 Narg 0.10336859252556341 12.165525060596439
CH0 CHR1 0.038921163656393386 10.583005244258363
aroC CHR1 0.01077583784622094 21.908902300206645
CHR2 CH0 0.036742613579184014 11.61895003862225
CH2 CH0 0.019186278901040674 10.14889156509222
CHR2 OOC 0.04210585641228758 11.045361017187261
OOC Narg 0.07595449870411349 10.198039027185569
CH0 aroC 0.01767439467025907 11.74734012447073
