0.043155 74
a1 a2 kldiv weight
CObb CHR1 0.015873143624596787 16.792855623746664
OCbb CHR1 0.0031999609791304924 21.307275752662516
Nbb CHR1 0.040515951039981624 14.212670403551895
CHR2 CHR1 0.01070899626057242 21.6794833886788
HapR CHR1 0.0064574083089603525 30.199337741083
CObb HapR 0.01074026553738278 26.92582403567252
HapR OCbb 0.006826881213542757 30.133038346638727
CHR2 HapR 0.009009382282685965 29.24038303442689
HapR HapR 0.009713470522934349 27.23967694375247
CAbb CHR1 0.017568683858952914 19.261360284258224
CAbb HapR 0.014019925766200881 26.68332812825267
CHR2 OH 0.06772859863871755 12.489995996796797
OH CHR1 0.05017111869294248 13.674794331177344
OOC CAbb 0.019489946673703445 10.908712114635714
OOC CHR1 0.031594896930266396 16.583123951777
CHR1 CHR1 0.053206306097897796 18.734993995195193
OOC HapR 0.014427978821917563 16.431676725154983
Nbb OCbb 0.09244821158766282 29.257477676655586
CAbb OCbb 0.01774386801455984 39.14077158156185
CAbb CAbb 0.006669131880064807 15.394804318340652
OCbb CH3 0.10168268590927268 25.15949125081825
CObb CAbb 0.011970666295647438 21.587033144922902
Nbb CAbb 0.008487632806361715 12.288205727444508
CObb OCbb 0.09092173434302453 29.427877939124322
CH2 OCbb 0.029464157765270303 20.049937655763422
aroC CH3 0.04276110011759555 36.76955262170047
CHR2 aroC 0.01942299361307166 23.769728648009426
HapR aroC 0.00507457776082041 32.01562118716424
CH0 HapR 0.01722516383760654 15.132745950421556
CHR2 CObb 0.012279221559262284 17.4928556845359
CHR2 OCbb 0.012687410040442628 23.345235059857504
CAbb OH 0.04709033723389688 11.045361017187261
CObb CH3 0.044145061803513415 23.280893453645632
CAbb CH3 0.009121777600256053 24.779023386727733
Nbb CObb 0.10809452202643886 27.2213151776324
CHR2 CHR2 0.021722906659743208 15.394804318340652
HapR OH 0.01413915108617516 15.937377450509228
CH0 CH3 0.010346578697940444 15.556349186104045
HapR CH3 0.03238980600282901 32.83291031876401
Nbb HapR 0.031254629809057834 19.131126469708992
CHR2 CH3 0.030693972421923676 24.95996794869737
CAbb aroC 0.0030543420238665258 25.059928172283335
CH3 CHR1 0.01905433901620775 22.561028345356956
CH1 HapR 0.018197956999807724 13.19090595827292
aroC OCbb 0.1532606607174821 21.633307652783937
OCbb OCbb 0.03400022419511885 14.317821063276353
Nbb aroC 0.008177087141527746 19.0
CH2 CH3 0.027683391763400417 26.115129714401192
CH3 CH3 0.07118607609192575 32.357379374726875
CObb aroC 0.01968906020367636 23.194827009486403
CHR2 CAbb 0.005638883611880835 17.4928556845359
CHR2 Nbb 0.02018611212988441 12.165525060596439
CH2 CHR1 0.01791434523771946 15.264337522473747
CH2 HapR 0.001994716629177591 22.135943621178654
CH2 CAbb 0.015202547611444 15.329709716755891
CH2 CHR2 0.026748247761774188 15.937377450509228
CH1 OCbb 0.05246929772963093 12.449899597988733
OH CH3 0.10521978008409567 10.723805294763608
Nbb CH3 0.04030495490556377 18.867962264113206
CH2 CObb 0.026492879084264037 15.231546211727817
CH2 aroC 0.053706817924079824 24.515301344262525
aroC aroC 0.036286687252632184 18.867962264113206
CH1 aroC 0.012420950009825574 14.7648230602334
CH2 CH2 0.003963681462247815 11.0
CH1 CH3 0.04458767388854466 16.401219466856727
HapR Narg 0.01091076219259338 11.445523142259598
CHR1 Narg 0.03503015833335909 12.165525060596439
CH0 CHR1 0.023662499877142813 10.583005244258363
aroC CHR1 0.009663198609801804 21.908902300206645
CHR2 CH0 0.02109067347589873 11.61895003862225
CH2 CH0 0.025662378531216536 10.14889156509222
CHR2 OOC 0.02612082741024933 11.045361017187261
OOC Narg 0.015198907433874467 10.198039027185569
CH0 aroC 0.013498481529361943 11.74734012447073
