0.031220 74
a1 a2 kldiv weight
CObb CHR1 0.011626846048454823 16.792855623746664
OCbb CHR1 0.008350604349460052 21.307275752662516
Nbb CHR1 0.006611404872997272 14.212670403551895
CHR2 CHR1 0.023461290566566505 21.6794833886788
HapR CHR1 0.013446945154008821 30.199337741083
CObb HapR 0.006785989418869879 26.92582403567252
HapR OCbb 0.009551681714951302 30.133038346638727
CHR2 HapR 0.002714966618350603 29.24038303442689
HapR HapR 0.004092310254321261 27.23967694375247
CAbb CHR1 0.008197440101903921 19.261360284258224
CAbb HapR 0.0053459104018042485 26.68332812825267
CHR2 OH 0.0323460766887057 12.489995996796797
OH CHR1 0.0288473707176719 13.674794331177344
OOC CAbb 0.02252291558618594 10.908712114635714
OOC CHR1 0.022167744910590752 16.583123951777
CHR1 CHR1 0.01473142459167164 18.734993995195193
OOC HapR 0.006386826067921298 16.431676725154983
Nbb OCbb 0.08940917027927046 29.257477676655586
CAbb OCbb 0.025414129734614217 39.14077158156185
CAbb CAbb 0.01644844689355246 15.394804318340652
OCbb CH3 0.03668969173782561 25.15949125081825
CObb CAbb 0.015682610378635838 21.587033144922902
Nbb CAbb 0.007775883781079613 12.288205727444508
CObb OCbb 0.13193084894735485 29.427877939124322
CH2 OCbb 0.01917525444341916 20.049937655763422
aroC CH3 0.0066203837936138115 36.76955262170047
CHR2 aroC 0.00821225774591111 23.769728648009426
HapR aroC 0.003253200306623902 32.01562118716424
CH0 HapR 0.01201966115500803 15.132745950421556
CHR2 CObb 0.010524771039750861 17.4928556845359
CHR2 OCbb 0.003396652132496339 23.345235059857504
CAbb OH 0.01885232508622387 11.045361017187261
CObb CH3 0.01001740365873119 23.280893453645632
CAbb CH3 0.003084860837532801 24.779023386727733
Nbb CObb 0.08154445054794622 27.2213151776324
CHR2 CHR2 0.0038625367152516515 15.394804318340652
HapR OH 0.005440156137727836 15.937377450509228
CH0 CH3 0.011978588279366683 15.556349186104045
HapR CH3 0.001837039642947395 32.83291031876401
Nbb HapR 0.0072507759589656015 19.131126469708992
CHR2 CH3 0.005715589357172078 24.95996794869737
CAbb aroC 0.004034266053658993 25.059928172283335
CH3 CHR1 0.012558432867822525 22.561028345356956
CH1 HapR 0.022508730693130304 13.19090595827292
aroC OCbb 0.04697357307077513 21.633307652783937
OCbb OCbb 0.08521816753725177 14.317821063276353
Nbb aroC 0.018108361327843294 19.0
CH2 CH3 0.01154180906352791 26.115129714401192
CH3 CH3 0.008308138119808354 32.357379374726875
CObb aroC 0.010073689758353765 23.194827009486403
CHR2 CAbb 0.010472994853736067 17.4928556845359
CHR2 Nbb 0.024792057971159236 12.165525060596439
CH2 CHR1 0.01628856175162452 15.264337522473747
CH2 HapR 0.005849446615398924 22.135943621178654
CH2 CAbb 0.008968886208485249 15.329709716755891
CH2 CHR2 0.011514806227221756 15.937377450509228
CH1 OCbb 0.020429062753114693 12.449899597988733
OH CH3 0.06304039622580637 10.723805294763608
Nbb CH3 0.004274364206404714 18.867962264113206
CH2 CObb 0.005554055901850718 15.231546211727817
CH2 aroC 0.00822063072243597 24.515301344262525
aroC aroC 0.007784162386183263 18.867962264113206
CH1 aroC 0.0021528305051100667 14.7648230602334
CH2 CH2 0.0008945792014050913 11.0
CH1 CH3 0.009314667682713988 16.401219466856727
HapR Narg 0.03090899324042562 11.445523142259598
CHR1 Narg 0.05293249215434198 12.165525060596439
CH0 CHR1 0.013205545547552842 10.583005244258363
aroC CHR1 0.004541711721604279 21.908902300206645
CHR2 CH0 0.015153404515583026 11.61895003862225
CH2 CH0 0.02298752121126478 10.14889156509222
CHR2 OOC 0.015441595610507983 11.045361017187261
OOC Narg 0.039347863665888425 10.198039027185569
CH0 aroC 0.007637895533063131 11.74734012447073
