0.032017 74
a1 a2 kldiv weight
CObb CHR1 0.017869174423685134 16.792855623746664
OCbb CHR1 0.010346344766440353 21.307275752662516
Nbb CHR1 0.016475936621748878 14.212670403551895
CHR2 CHR1 0.007893429856442757 21.6794833886788
HapR CHR1 0.005915447712444616 30.199337741083
CObb HapR 0.011155245108434991 26.92582403567252
HapR OCbb 0.0020365806407704845 30.133038346638727
CHR2 HapR 0.003150164037032852 29.24038303442689
HapR HapR 0.0011246788153477028 27.23967694375247
CAbb CHR1 0.007675515654368609 19.261360284258224
CAbb HapR 0.0053180117569051515 26.68332812825267
CHR2 OH 0.03872217020700118 12.489995996796797
OH CHR1 0.03883290491524323 13.674794331177344
OOC CAbb 0.018711422490244278 10.908712114635714
OOC CHR1 0.040537381201421065 16.583123951777
CHR1 CHR1 0.008672300876994533 18.734993995195193
OOC HapR 0.010886948359618868 16.431676725154983
Nbb OCbb 0.04390604968244462 29.257477676655586
CAbb OCbb 0.01876240211609283 39.14077158156185
CAbb CAbb 0.03283525097556616 15.394804318340652
OCbb CH3 0.06935341838423853 25.15949125081825
CObb CAbb 0.02343386542869251 21.587033144922902
Nbb CAbb 0.00799493692180976 12.288205727444508
CObb OCbb 0.08426085490626896 29.427877939124322
CH2 OCbb 0.03609886892949695 20.049937655763422
aroC CH3 0.026299192731195943 36.76955262170047
CHR2 aroC 0.019924945688837035 23.769728648009426
HapR aroC 0.0044867127470310025 32.01562118716424
CH0 HapR 0.00560515060411831 15.132745950421556
CHR2 CObb 0.017379490244213605 17.4928556845359
CHR2 OCbb 0.002057567537930712 23.345235059857504
CAbb OH 0.01601065055724406 11.045361017187261
CObb CH3 0.04067357258755351 23.280893453645632
CAbb CH3 0.014257439102514015 24.779023386727733
Nbb CObb 0.04138207076313728 27.2213151776324
CHR2 CHR2 0.023096565029329563 15.394804318340652
HapR OH 0.0102509300327991 15.937377450509228
CH0 CH3 0.032433292715229926 15.556349186104045
HapR CH3 0.007402575908013488 32.83291031876401
Nbb HapR 0.008784001664781375 19.131126469708992
CHR2 CH3 0.012671470341713956 24.95996794869737
CAbb aroC 0.00789913217486538 25.059928172283335
CH3 CHR1 0.005194453318909001 22.561028345356956
CH1 HapR 0.02880130365114186 13.19090595827292
aroC OCbb 0.08825845063800006 21.633307652783937
OCbb OCbb 0.09588169379850527 14.317821063276353
Nbb aroC 0.01715896740785501 19.0
CH2 CH3 0.031111758326362086 26.115129714401192
CH3 CH3 0.04135236544943195 32.357379374726875
CObb aroC 0.02227091274997841 23.194827009486403
CHR2 CAbb 0.010382848803372896 17.4928556845359
CHR2 Nbb 0.03096994499170236 12.165525060596439
CH2 CHR1 0.009027061500965836 15.264337522473747
CH2 HapR 0.006283518523265317 22.135943621178654
CH2 CAbb 0.011443443180805117 15.329709716755891
CH2 CHR2 0.0254734133783903 15.937377450509228
CH1 OCbb 0.03152642049602768 12.449899597988733
OH CH3 0.13494585045785054 10.723805294763608
Nbb CH3 0.030968384223159978 18.867962264113206
CH2 CObb 0.016471936322845278 15.231546211727817
CH2 aroC 0.027677947241197067 24.515301344262525
aroC aroC 0.01746670753456765 18.867962264113206
CH1 aroC 0.006424366679916603 14.7648230602334
CH2 CH2 0.011396151980174182 11.0
CH1 CH3 0.013532136455826713 16.401219466856727
HapR Narg 0.01874557911595993 11.445523142259598
CHR1 Narg 0.043485416052313805 12.165525060596439
CH0 CHR1 0.008839450043025979 10.583005244258363
aroC CHR1 0.006799752672522415 21.908902300206645
CHR2 CH0 0.01697933052395631 11.61895003862225
CH2 CH0 0.013595248199448419 10.14889156509222
CHR2 OOC 0.03642024500732096 11.045361017187261
OOC Narg 0.046898114493896775 10.198039027185569
CH0 aroC 0.01591660389343282 11.74734012447073
