# Design random-forest-leaf-neighbors in topology-specific Rosetta feature space
# Topology group index given in protein_groupings_by_uw.v1.metadata.csv: 3 
# Feature space: AlaCount; T1_absq; T1_netq; Tend_absq; Tend_netq; Tminus1_absq; Tminus1_netq; abego_res_profile; abego_res_profile_penalty; avg_all_frags; avg_best_frag; bb; buns_bb_heavy; buns_nonheavy; buns_sc_heavy; buried_minus_exposed; buried_np; buried_np_AFILMVWY; buried_np_AFILMVWY_per_res; buried_np_per_res; buried_over_exposed; chymo_cut_sites; chymo_with_LM_cut_sites; contact_all; contact_core_SASA; contact_core_SCN; contig_not_hp_avg; contig_not_hp_avg_norm; contig_not_hp_internal_max; contig_not_hp_max; degree; dslf_fa13; entropy; exposed_hydrophobics; exposed_np_AFILMVWY; exposed_polars; exposed_total; fa_atr; fa_atr_per_res; fa_dun_dev; fa_dun_rot; fa_dun_semi; fa_elec; fa_intra_atr_xover4; fa_intra_elec; fa_intra_rep_xover4; fa_intra_sol_xover4; fa_rep; fa_rep_per_res; fa_sol; frac_helix; frac_loop; frac_sheet; fxn_exposed_is_np; hbond_bb_sc; hbond_lr_bb; hbond_lr_bb_per_sheet; hbond_sc; hbond_sr_bb; hbond_sr_bb_per_helix; helix_sc; holes; hphob_sc_contacts; hphob_sc_degree; hxl_tors; hydrophobicity; largest_hphob_cluster; lk_ball; lk_ball_bridge; lk_ball_bridge_uncpl; lk_ball_iso; loop_sc; mismatch_probability; n_charged; n_hphob_clusters; n_hydrophobic; n_hydrophobic_noA; n_polar_core; n_res; nearest_chymo_cut_to_Cterm; nearest_chymo_cut_to_Nterm; nearest_chymo_cut_to_term; nearest_tryp_cut_to_Cterm; nearest_tryp_cut_to_Nterm; nearest_tryp_cut_to_term; net_atr_net_sol_per_res; net_atr_per_res; net_sol_per_res; netcharge; nres; nres_helix; nres_loop; nres_sheet; omega; one_core_each; p_aa_pp; pack; percent_core_SASA; percent_core_SCN; pro_close; rama_prepro; ref; res_count_core_SASA; res_count_core_SCN; score_per_res; ss_contributes_core; ss_sc; sum_best_frags; total_score; tryp_cut_sites; two_core_each; worst6frags; worstfrag
# Feature space dimension: 113
# Feature space normalization: mean-0; std-1 normalization
# RF minimum samples per leaf: 20
# RF maximum features per tree: sqrt
# RF boostrap?: False
# RF random state: 93
# Stability score used: stabilityscore_cnn_calibrated
# Number of designs: 4963
# stabilityscore_cnn_calibrated: current best experimental stability score for each design
# stability_pred: prediction of rfr model trained on 4913 designs (on average)
# stability_diff: difference between experimental and predicted stability score
# num_nhbrs: average number of leaf-neighbors across all trees
# num_nhbrs_gt: average number of leaf-neighbors across all trees with stability score greater than the design
# num_nhbrs_lt: average number of leaf-neighbors across all trees with stability score less than the design
# diff: average difference between a design's stability and its leaf-neighbors' stabilities averaged across all trees
# gt_diff: average difference between a design's stability and those leaf-neighbors' whose stabilities are greater than the design's averaged across all trees
# lt_diff: average difference between a design's stability and those leaf-neighbors' whose stabilities are less than the design's averaged across all trees
# abs_diff: average absolute difference between a design's stability and its leaf-neighbors' stabilities averaged across all trees
# max_diff: maximum difference between a design's stability and its leaf-neighbors' stabilities averaged across all trees
# max_gt_diff: maximum difference between a design's stability and the leaf-neighbors' whose stabilities are greater than the design's averaged across all trees
# max_lt_diff: maximum difference between a design's stability and the leaf-neighbors' whose stabilities are less than the design's averaged across all trees
# max_abs_diff: maximum absolute difference between a design's stability and its leaf-neighbors' stabilities averaged across all trees
# leaf_nhbr_k: the design that is the kth most often a leaf-neighbor with its stability and the fraction of trees in which it is a neighbor
# Author: Francis Motta
# Index: N/A
index,dataset,name,topology,group_index,stabilityscore_cnn_calibrated,stability_pred,stability_diff,num_nhbrs,num_nhbrs_gt,num_nhbrs_lt,diff,gt_diff,lt_diff,abs_diff,max_diff,max_gt_diff,max_lt_diff,max_abs_diff,leaf_nhbr_0,leaf_nhbr_1,leaf_nhbr_2,leaf_nhbr_3,leaf_nhbr_4,leaf_nhbr_5,leaf_nhbr_6,leaf_nhbr_7,leaf_nhbr_8,leaf_nhbr_9
1844,Rocklin,EEHEE_rd2_0770,EEHEE,3,1.3894898143433294,-0.2563173077895933,1.6458071221329227,26.13,0.003,26.127,1.608259290836749,-0.13300722380592336,1.6084291186303041,1.6082879524069016,2.48082847176006,-0.13300722380592336,2.48082847176006,2.48082847176006,"('EEHEE_rd2_0282', -0.04714088213357768, 0.154)","('EEHEE_rd2_0734', 0.08187822076997958, 0.141)","('EEHEE_rd2_0756', -0.10108437853067356, 0.14)","('EEHEE_rd2_0334', 0.06253311942991274, 0.132)","('EEHEE_rd2_1165', 0.08505996836227457, 0.125)","('EEHEE_rd2_0004', -0.1913385409857052, 0.12)","('EEHEE_rd2_0895', -0.2943247607937158, 0.116)","('EEHEE_rd1_0066', -0.2647387409454243, 0.112)","('EEHEE_rd2_1284', 0.0014559981675204411, 0.109)","('EEHEE_rd2_0525', -0.3511573938445831, 0.098)"
2031,Rocklin,EEHEE_rd3_1136,EEHEE,3,1.6488042301181407,0.15053065567910448,1.4982735744390363,26.321,0.012,26.309,1.3876224098280376,-0.0625351324523475,1.3881198126681846,1.387678849944966,2.119222646207155,-0.0625351324523475,2.119222646207155,2.119222646207155,"('EEHEE_rd3_0159', 0.29652728834993713, 0.134)","('EEHEE_rd3_1727', 0.13285999329917866, 0.123)","('EEHEE_rd3_1279', 0.6696874415058544, 0.119)","('EEHEE_rd3_1535', 0.4953665843584722, 0.108)","('EEHEE_rd3_0770', -0.16857581611664385, 0.104)","('EEHEE_rd3_1247', 0.31770277286202103, 0.099)","('EEHEE_rd3_0693', 0.9500503477485832, 0.097)","('EEHEE_rd3_0700', -0.27601054795341073, 0.096)","('EEHEE_rd3_0950', 0.9857043097115612, 0.095)","('EEHEE_rd3_0590', 0.4762746390426147, 0.093)"
4041,Rocklin,EEHEE_rd3_1584,EEHEE,3,1.5867022875471826,0.17519583966259364,1.411506447884589,26.28,0.112,26.168,1.3020634793712438,-0.10810056771629534,1.3074936062915368,1.3031161990454092,2.0447328487702516,-0.1131900543581431,2.0447328487702516,2.0447328487702516,"('EEHEE_rd3_0441', 0.005231549187216972, 0.195)","('EEHEE_rd3_0496', 0.13566887927642604, 0.165)","('EEHEE_rd3_1039', 0.07142173897238069, 0.15)","('EEHEE_rd3_0341', -0.1493598698408199, 0.142)","('EEHEE_rd3_0226', 0.7198961978929467, 0.14)","('EEHEE_rd3_1496', 0.5744881296516743, 0.134)","('EEHEE_rd3_0545', 0.1507162585003324, 0.133)","('EEHEE_rd3_1427', -0.06833854949735918, 0.125)","('EEHEE_rd3_1065', 1.1811803970132184, 0.118)","('EEHEE_rd3_1415', 0.9507925715882348, 0.117)"
3117,Rocklin,EEHEE_rd3_0393,EEHEE,3,1.4553475914970746,0.17368397619492912,1.2816636153021455,26.339,0.385,25.954,1.1577578372627542,-0.14579642820649416,1.1746545244104272,1.1621581306651005,1.959631854480948,-0.16043237112914613,1.959631854480948,1.959631854480948,"('EEHEE_rd3_1029', 0.6981899690456667, 0.229)","('EEHEE_rd3_0653', 0.0522251258385298, 0.216)","('EEHEE_rd3_1619', -0.2667465046496768, 0.207)","('EEHEE_rd3_0180', 0.4270414792044432, 0.204)","('EEHEE_rd3_1161', -0.22302557317072405, 0.194)","('EEHEE_rd3_0200', 0.2859070288298435, 0.189)","('EEHEE_rd3_0245', -0.12996741028493528, 0.187)","('EEHEE_rd3_1358', 0.2408026382105077, 0.183)","('EEHEE_rd3_0908', 0.07953873228696147, 0.166)","('EEHEE_rd3_1357', 0.5763692402526079, 0.161)"
2776,Rocklin,EEHEE_rd3_1058,EEHEE,3,1.6874211287828411,0.47613786317077866,1.2112832656120625,25.949,0.412,25.537,1.1389776266947496,-0.057164267253952045,1.155452967150486,1.1409111110131251,2.083865334205665,-0.07549774568660482,2.083865334205665,2.083865334205665,"('EEHEE_rd3_1632', -0.03248952747347087, 0.3)","('EEHEE_rd3_1323', 0.94368547518602, 0.266)","('EEHEE_rd3_0888', 1.0925987228791232, 0.23)","('EEHEE_rd3_1403', 0.20754685451959604, 0.215)","('EEHEE_rd3_0775', -0.12219796403510362, 0.205)","('EEHEE_rd3_0683', 1.0492593963850871, 0.197)","('EEHEE_rd3_0445', -0.17836984969909855, 0.196)","('EEHEE_rd3_1484', 1.445196230905404, 0.194)","('EEHEE_rd3_0748', 0.7772490163010499, 0.18)","('EEHEE_rd3_0645', 0.6681871927183305, 0.179)"
726,Rocklin,EEHEE_rd3_1498,EEHEE,3,1.7269368813257102,0.541901525180025,1.1850353561456852,25.922,0.147,25.775,1.1069908431593165,-0.17880788138726122,1.1121787101517302,1.1087972079776842,2.078380298244595,-0.1971948761094447,2.078380298244595,2.078380298244595,"('EEHEE_rd3_0315', 0.08122666512703383, 0.264)","('EEHEE_rd3_1702', 1.6951015748922842, 0.216)","('EEHEE_rd3_0765', 1.2705100194790218, 0.216)","('EEHEE_rd3_1224', 0.9859119774882108, 0.212)","('EEHEE_rd3_1088', 1.1887655943870057, 0.21)","('EEHEE_rd3_0985', 1.209112907716476, 0.203)","('EEHEE_rd3_0229', 1.00481517277883, 0.195)","('EEHEE_rd3_1761', 0.6170909847132542, 0.192)","('EEHEE_rd3_1208', 0.32117053125381073, 0.181)","('EEHEE_rd3_0435', 0.8836685272694316, 0.172)"
890,Rocklin,EEHEE_rd4_0375,EEHEE,3,2.1883920978660534,1.0206642011307028,1.1677278967353506,26.034,0.007,26.027,1.095657319123927,-0.043336760825998945,1.0958870484343683,1.0956783749905916,1.9550991340713808,-0.043336760825998945,1.9550991340713808,1.9550991340713808,"('EEHEE_rd4_0400', 1.4774282081012573, 0.283)","('EEHEE_rd4_0353', 1.8288459068212024, 0.28)","('EEHEE_rd4_0140', 1.9621105868211053, 0.244)","('EEHEE_rd4_0503', 1.0148061949301388, 0.225)","('EEHEE_rd4_0500', 1.6878844874471182, 0.22)","('EEHEE_rd4_0705', 1.3031439082240164, 0.218)","('EEHEE_rd4_0996', 1.2118778187867991, 0.213)","('EEHEE_rd4_0630', 1.2742741426286608, 0.199)","('EEHEE_rd4_0533', 0.8473479049591855, 0.199)","('EEHEE_rd4_0639', 1.5446592882797208, 0.186)"
1012,Rocklin,EEHEE_rd3_1220,EEHEE,3,1.5125880580385875,0.3490981528672129,1.1634899051713745,26.216,0.481,25.735,1.0780102777002176,-0.13341587700772783,1.0971958354845943,1.0830521602234422,1.9481172044336779,-0.1670466003327478,1.9481172044336779,1.9481172044336779,"('EEHEE_rd3_1357', 0.5763692402526079, 0.162)","('EEHEE_rd3_1312', 0.5862658819882133, 0.158)","('EEHEE_rd3_1668', 0.16049149366492835, 0.153)","('EEHEE_rd3_0870', 0.7519260433381202, 0.151)","('EEHEE_rd3_1205', 0.7508287245613882, 0.147)","('EEHEE_rd3_1452', -0.3763446246930534, 0.146)","('EEHEE_rd3_0908', 0.07953873228696147, 0.145)","('EEHEE_rd3_1262', -0.04071069248440845, 0.144)","('EEHEE_rd3_1358', 0.2408026382105077, 0.137)","('EEHEE_rd3_0499', 0.5800079952266037, 0.136)"
4307,Rocklin,EEHEE_rd3_1630,EEHEE,3,1.4658458004754933,0.32061598426097726,1.145229816214516,25.611,0.715,24.896,1.0778258359917954,-0.17017863600046376,1.1006497976429737,1.0876227979757804,1.8694263403892455,-0.23481328260422907,1.870926049137979,1.8710126095565707,"('EEHEE_rd3_1356', 0.7390876063814628, 0.426)","('EEHEE_rd3_0017', 0.7439714677507289, 0.209)","('EEHEE_rd3_1227', -0.051967761903742436, 0.155)","('EEHEE_rd3_1005', 0.2735795565849698, 0.143)","('EEHEE_rd3_1267', -0.1474433200035974, 0.129)","('EEHEE_rd3_1263', 0.9721954566513372, 0.108)","('EEHEE_rd3_1462', 0.6551654867414717, 0.097)","('EEHEE_rd3_0319', 0.9582964484992792, 0.097)","('EEHEE_rd3_1003', -0.15050703802442447, 0.09)","('EEHEE_rd3_1625', 0.30593411117792113, 0.089)"
1563,Rocklin,EEHEE_rd3_1817,EEHEE,3,1.318484766956926,0.14423921826306446,1.1742455486938614,26.005,0.392,25.613,1.069825259585055,-0.11074949790227988,1.0857571694802224,1.0730147123213856,1.809931254641424,-0.12738511569603186,1.809931254641424,1.809931254641424,"('EEHEE_rd3_1130', 0.050602962879566935, 0.198)","('EEHEE_rd3_0092', 0.5846348445155656, 0.156)","('EEHEE_rd3_0907', 0.4444326743823245, 0.149)","('EEHEE_rd3_0116', 0.4473492756632441, 0.125)","('EEHEE_rd3_0498', 0.6449138454052239, 0.122)","('EEHEE_rd3_1577', 0.07457220220238776, 0.115)","('EEHEE_rd3_1306', 0.14658002867501368, 0.114)","('EEHEE_rd3_1813', 0.511458320597619, 0.111)","('EEHEE_rd3_1810', 1.3480966407958082, 0.107)","('EEHEE_rd3_1173', 0.3331833141681782, 0.1)"
