e_function,orig_design_name,nres,design,xtal,score_term,e_gap
beta16_cart,5L6HC3_1,236,-850.735,-840.1110000000001,score,0.045016949152541993
beta16_cart,6AYYA,283,-1024.897,-1023.972,score,0.003268551236748956
beta16_cart,BB1,109,-437.634,-420.774,score,0.15467889908256893
beta16_cart,BBM2nHm0589,110,-412.523,-406.306,score,0.056518181818182196
beta16_cart,CAV1,107,-407.32099999999997,-404.43199999999996,score,0.027000000000000093
beta16_cart,DHD127,145,-505.20099999999996,-513.9780000000001,score,-0.060531034482759316
beta16_cart,DHD131,150,-561.585,-531.77,score,0.19876666666666704
beta16_cart,DHR4,197,-716.936,-701.201,score,0.07987309644670057
beta16_cart,DHR76,219,-839.459,-834.818,score,0.02119178082191764
beta16_cart,D_3_212,448,-1861.5279999999998,-1751.185,score,0.24630133928571393
beta16_cart,D_3_633,436,-1803.55,-1678.36,score,0.2871330275229359
beta16_cart,LHD29,129,-537.1759999999999,-520.712,score,0.12762790697674373
beta16_cart,MC2_7,115,-431.87699999999995,-405.43800000000005,score,0.22990434782608615
beta16_cart,RPB_PLP3_R6–PLPx6,320,-1329.024,-1238.181,score,0.2838843749999995
beta16_cart,THR1,200,-732.6339999999999,-740.01,score,-0.03688000000000045
beta16_cart,THR2,199,-721.685,-718.482,score,0.016095477386934544
beta16_cart,WSHC6,414,-1517.255,-1371.246,score,0.3526787439613527
beta16_cart_plus_hpsc_lj_changes,5L6HC3_1,236,-837.403,-833.0189999999999,score,0.018576271186441222
beta16_cart_plus_hpsc_lj_changes,6AYYA,283,-1006.295,-997.007,score,0.03281978798586576
beta16_cart_plus_hpsc_lj_changes,BB1,109,-432.85400000000004,-415.004,score,0.16376146788990847
beta16_cart_plus_hpsc_lj_changes,BBM2nHm0589,110,-406.977,-397.025,score,0.09047272727272726
beta16_cart_plus_hpsc_lj_changes,CAV1,107,-399.211,-391.0,score,0.07673831775700947
beta16_cart_plus_hpsc_lj_changes,DHD127,145,-492.07199999999995,-502.222,score,-0.07000000000000023
beta16_cart_plus_hpsc_lj_changes,DHD131,150,-554.092,-532.946,score,0.14097333333333306
beta16_cart_plus_hpsc_lj_changes,DHR4,197,-700.465,-681.847,score,0.09450761421319823
beta16_cart_plus_hpsc_lj_changes,DHR76,219,-820.966,-816.915,score,0.01849771689497737
beta16_cart_plus_hpsc_lj_changes,D_3_212,448,-1820.774,-1716.106,score,0.23363392857142834
beta16_cart_plus_hpsc_lj_changes,D_3_633,436,-1762.469,-1634.775,score,0.2928761467889907
beta16_cart_plus_hpsc_lj_changes,LHD29,129,-530.021,-514.672,score,0.11898449612403049
beta16_cart_plus_hpsc_lj_changes,MC2_7,115,-424.26300000000003,-396.745,score,0.2392869565217394
beta16_cart_plus_hpsc_lj_changes,RPB_PLP3_R6–PLPx6,320,-1301.894,-1219.621,score,0.2571031249999997
beta16_cart_plus_hpsc_lj_changes,THR1,200,-721.563,-722.8480000000001,score,-0.0064250000000004096
beta16_cart_plus_hpsc_lj_changes,THR2,199,-699.951,-696.37,score,0.017994974874371947
beta16_cart_plus_hpsc_lj_changes,WSHC6,414,-1486.73,-1326.297,score,0.38751932367149755
beta16_cart,5L6HC3_1,236,-775.755,-757.663,fa_elec_total,0.07666101694915248
beta16_cart,6AYYA,283,-872.894,-851.9399999999999,fa_elec_total,0.07404240282685536
beta16_cart,BB1,109,-330.82,-356.99,fa_elec_total,-0.2400917431192662
beta16_cart,BBM2nHm0589,110,-327.042,-314.359,fa_elec_total,0.11529999999999993
