# Design random-forest-leaf-neighbors in topology-specific Rosetta feature space
# Topology group index given in protein_groupings_by_uw.v1.metadata.csv: 2 
# Feature space: AlaCount; T1_absq; T1_netq; Tend_absq; Tend_netq; Tminus1_absq; Tminus1_netq; abego_res_profile; abego_res_profile_penalty; avg_all_frags; avg_best_frag; bb; buns_bb_heavy; buns_nonheavy; buns_sc_heavy; buried_minus_exposed; buried_np; buried_np_AFILMVWY; buried_np_AFILMVWY_per_res; buried_np_per_res; buried_over_exposed; chymo_cut_sites; chymo_with_LM_cut_sites; contact_all; contact_core_SASA; contact_core_SCN; contig_not_hp_avg; contig_not_hp_avg_norm; contig_not_hp_internal_max; contig_not_hp_max; degree; dslf_fa13; entropy; exposed_hydrophobics; exposed_np_AFILMVWY; exposed_polars; exposed_total; fa_atr; fa_atr_per_res; fa_dun_dev; fa_dun_rot; fa_dun_semi; fa_elec; fa_intra_atr_xover4; fa_intra_elec; fa_intra_rep_xover4; fa_intra_sol_xover4; fa_rep; fa_rep_per_res; fa_sol; frac_helix; frac_loop; frac_sheet; fxn_exposed_is_np; hbond_bb_sc; hbond_lr_bb; hbond_lr_bb_per_sheet; hbond_sc; hbond_sr_bb; hbond_sr_bb_per_helix; helix_sc; holes; hphob_sc_contacts; hphob_sc_degree; hxl_tors; hydrophobicity; largest_hphob_cluster; lk_ball; lk_ball_bridge; lk_ball_bridge_uncpl; lk_ball_iso; loop_sc; mismatch_probability; n_charged; n_hphob_clusters; n_hydrophobic; n_hydrophobic_noA; n_polar_core; n_res; nearest_chymo_cut_to_Cterm; nearest_chymo_cut_to_Nterm; nearest_chymo_cut_to_term; nearest_tryp_cut_to_Cterm; nearest_tryp_cut_to_Nterm; nearest_tryp_cut_to_term; net_atr_net_sol_per_res; net_atr_per_res; net_sol_per_res; netcharge; nres; nres_helix; nres_loop; nres_sheet; omega; one_core_each; p_aa_pp; pack; percent_core_SASA; percent_core_SCN; pro_close; rama_prepro; ref; res_count_core_SASA; res_count_core_SCN; score_per_res; ss_contributes_core; ss_sc; sum_best_frags; total_score; tryp_cut_sites; two_core_each; worst6frags; worstfrag
# Feature space dimension: 113
# Feature space normalization: mean-0; std-1 normalization
# RF minimum samples per leaf: 20
# RF maximum features per tree: sqrt
# RF boostrap?: False
# RF random state: 93
# Stability score used: stabilityscore_cnn_calibrated
# Number of designs: 2965
# stabilityscore_cnn_calibrated: current best experimental stability score for each design
# stability_pred: prediction of rfr model trained on 2935 designs (on average)
# stability_diff: difference between experimental and predicted stability score
# num_nhbrs: average number of leaf-neighbors across all trees
# num_nhbrs_gt: average number of leaf-neighbors across all trees with stability score greater than the design
# num_nhbrs_lt: average number of leaf-neighbors across all trees with stability score less than the design
# diff: average difference between a design's stability and its leaf-neighbors' stabilities averaged across all trees
# gt_diff: average difference between a design's stability and those leaf-neighbors' whose stabilities are greater than the design's averaged across all trees
# lt_diff: average difference between a design's stability and those leaf-neighbors' whose stabilities are less than the design's averaged across all trees
# abs_diff: average absolute difference between a design's stability and its leaf-neighbors' stabilities averaged across all trees
# max_diff: maximum difference between a design's stability and its leaf-neighbors' stabilities averaged across all trees
# max_gt_diff: maximum difference between a design's stability and the leaf-neighbors' whose stabilities are greater than the design's averaged across all trees
# max_lt_diff: maximum difference between a design's stability and the leaf-neighbors' whose stabilities are less than the design's averaged across all trees
# max_abs_diff: maximum absolute difference between a design's stability and its leaf-neighbors' stabilities averaged across all trees
# leaf_nhbr_k: the design that is the kth most often a leaf-neighbor with its stability and the fraction of trees in which it is a neighbor
# Author: Francis Motta
# Index: N/A
index,dataset,name,topology,group_index,stabilityscore_cnn_calibrated,stability_pred,stability_diff,num_nhbrs,num_nhbrs_gt,num_nhbrs_lt,diff,gt_diff,lt_diff,abs_diff,max_diff,max_gt_diff,max_lt_diff,max_abs_diff,leaf_nhbr_0,leaf_nhbr_1,leaf_nhbr_2,leaf_nhbr_3,leaf_nhbr_4,leaf_nhbr_5,leaf_nhbr_6,leaf_nhbr_7,leaf_nhbr_8,leaf_nhbr_9
2722,Rocklin,EHEE_rd2_1260,EHEE,2,2.3409228698151567,0.3135052169410218,2.027417652874135,25.72,0.005,25.715,1.8860214765752323,-0.07874428996867433,1.8863430367049714,1.886057029766738,3.1147257177801757,-0.07874428996867433,3.1147257177801757,3.1147257177801757,"('EHEE_rd2_0341', 1.9693605214492733, 0.184)","('EHEE_rd2_1252', 0.2454853940873841, 0.151)","('EHEE_rd2_0212', 0.5077181642443761, 0.146)","('EHEE_rd2_0954', 0.21249831951822665, 0.143)","('EHEE_rd2_0065', 1.2558358794023974, 0.141)","('EHEE_rd2_0333', 1.4770135751051046, 0.138)","('EHEE_rd2_0217', 1.492288406533922, 0.135)","('EHEE_rd2_0450', 0.9460147392688499, 0.118)","('EHEE_rd2_0695', 1.0604422381277832, 0.115)","('EHEE_rd1_0470', 1.5803716249857234, 0.111)"
471,Rocklin,EHEE_rd1_0101,EHEE,2,1.8544217990109413,0.062084601845858504,1.7923371971650828,25.772,0.12,25.652,1.711126551751199,-0.172284123555138,1.7196334167965242,1.7127670998406985,2.604097752071096,-0.17639714840475168,2.604097752071096,2.604097752071096,"('EHEE_rd1_0731', 0.1892014185829929, 0.313)","('EHEE_rd2_0146', 0.38559675798232, 0.28)","('EHEE_rd1_0519', 0.5122961599460554, 0.262)","('EHEE_rd2_0153', -0.03776735735085495, 0.231)","('EHEE_rd1_0459', 1.225144845959502, 0.227)","('EHEE_rd2_0702', 0.2605776052929576, 0.188)","('EHEE_rd1_0869', 0.18418514967820485, 0.181)","('EHEE_rd1_0071', 0.21203415319019986, 0.181)","('EHEE_rd1_0943', -0.4473390149855882, 0.179)","('EHEE_rd1_0130', 0.2938604708245312, 0.177)"
1637,Rocklin,EHEE_rd2_0341,EHEE,2,1.9693605214492733,0.1304709225642345,1.838889598885039,25.574,0.273,25.301,1.6951401732269546,-0.2828077011374958,1.7145007610402458,1.7011840188839225,2.8344887209326664,-0.3047551862725631,2.8344887209326664,2.8344887209326664,"('EHEE_rd2_1260', 2.3409228698151567, 0.184)","('EHEE_rd2_0231', 1.3339834319303163, 0.147)","('EHEE_rd2_0499', 0.3473795118058068, 0.146)","('EHEE_rd2_1195', -0.22872516832537354, 0.145)","('EHEE_rd2_1166', -0.3743422149963997, 0.119)","('EHEE_rd2_0559', 0.7335696104022392, 0.114)","('EHEE_rd2_0682', -0.1976744204709021, 0.107)","('EHEE_rd2_0333', 1.4770135751051046, 0.099)","('EHEE_rd2_0147', 0.9413469014753928, 0.094)","('EHEE_rd2_0797', 1.2445976008545825, 0.094)"
784,Rocklin,EHEE_rd1_0882,EHEE,2,2.0011560189853257,0.20314658987998013,1.7980094291053454,25.864,0.029,25.835,1.690421601266885,-0.2778414534387371,1.6923115274232077,1.6910257694795274,2.7071723296964016,-0.2778414534387371,2.7071723296964016,2.7071723296964016,"('EHEE_rd1_0167', 0.26480771624301874, 0.167)","('EHEE_rd1_0512', 0.1093349159177706, 0.164)","('EHEE_rd2_0165', 0.9092438816199064, 0.162)","('EHEE_rd1_0127', -0.0949932035751748, 0.149)","('EHEE_rd1_0080', -0.007439280799405663, 0.148)","('EHEE_rd2_0029', 0.3810480052977641, 0.127)","('EHEE_rd2_0085', 0.7283164660455627, 0.126)","('EHEE_rd1_0565', 1.6477634059337418, 0.12)","('EHEE_rd2_0041', 0.0006273986103595425, 0.117)","('EHEE_rd2_0006', 0.3777855231065816, 0.116)"
2523,Rocklin,EHEE_rd1_0407,EHEE,2,1.8446768314207518,0.1706786544984648,1.673998176922287,25.836,0.095,25.741,1.5899551012437727,-0.12410788032078467,1.595093739460367,1.59090525232994,2.6154636930275137,-0.14349925501515345,2.6154636930275137,2.6154636930275137,"('EHEE_rd1_0350', 0.9240328177567292, 0.291)","('EHEE_rd1_0284', 1.4165695713013045, 0.26)","('EHEE_rd1_0293', 0.4357436196930519, 0.251)","('EHEE_rd2_0064', 0.9671101240816724, 0.236)","('EHEE_rd1_0307', 1.520689021907976, 0.196)","('EHEE_rd2_0400', 0.16775309759780302, 0.187)","('EHEE_rd1_0835', 0.7196660596051908, 0.175)","('EHEE_rd2_0406', 0.2859807710350763, 0.162)","('EHEE_rd2_0150', 1.0628263808264222, 0.159)","('EHEE_rd2_0725', 0.5196828132939405, 0.132)"
459,Rocklin,EHEE_rd2_0061,EHEE,2,1.8018022201675843,0.13933277710727876,1.6624694430603055,26.162,0.23,25.932,1.5707486110451296,-0.09483111769500079,1.5845953207515353,1.5725399739745958,2.618499850197453,-0.10534023945895864,2.618499850197453,2.618499850197453,"('EHEE_rd2_1103', 0.6516755225779575, 0.218)","('EHEE_rd1_0314', 0.7595423177623885, 0.197)","('EHEE_rd2_1132', 1.2588765788685552, 0.189)","('EHEE_rd2_1270', 0.6644331453711989, 0.188)","('EHEE_rd2_1118', 1.1189107181936608, 0.137)","('EHEE_rd2_0185', 0.2345544155743725, 0.132)","('EHEE_rd2_0579', 0.6706478428593671, 0.124)","('EHEE_rd1_0685', 0.6050255705252492, 0.119)","('EHEE_rd2_0266', 0.6143243667006841, 0.115)","('EHEE_rd2_0650', 1.1546223472518589, 0.112)"
550,Rocklin,EHEE_rd2_0699,EHEE,2,1.8419146904704644,0.17348227668764818,1.6684324137828161,25.713,0.137,25.576,1.5650526529163455,-0.14724920036600017,1.5725212778578166,1.5666194108951805,2.688169682404748,-0.1643819039822949,2.688169682404748,2.688169682404748,"('EHEE_rd2_1185', 0.39613943915043737, 0.163)","('EHEE_rd2_0769', 0.2315541624503657, 0.155)","('EHEE_rd2_1118', 1.1189107181936608, 0.153)","('EHEE_rd2_0111', 1.3709531088926428, 0.15)","('EHEE_rd2_1270', 0.6644331453711989, 0.139)","('EHEE_rd2_0808', 0.6967892422413814, 0.135)","('EHEE_rd2_0399', 0.5226734191399853, 0.134)","('EHEE_rd2_0416', 0.6348370039900685, 0.131)","('EHEE_rd2_1220', 0.6942814280002483, 0.124)","('EHEE_rd2_0881', 0.4434705448661238, 0.12)"
1187,Rocklin,EHEE_rd2_0751,EHEE,2,1.5594817474688552,-0.07809286241516022,1.6375746098840154,26.393,0.193,26.2,1.5403787529877047,-0.2689303162111969,1.5522432291185868,1.5443100584372436,2.524607586061974,-0.2857538736987858,2.524607586061974,2.524607586061974,"('EHEE_rd2_1300', 0.08587507849337052, 0.148)","('EHEE_rd2_0060', 0.3159439032176992, 0.148)","('EHEE_rd2_0831', -0.2863718023674732, 0.133)","('EHEE_rd2_0185', 0.2345544155743725, 0.123)","('EHEE_rd2_0311', 1.2922207022824246, 0.123)","('EHEE_rd2_0998', 0.908027983270652, 0.122)","('EHEE_rd1_0219', -0.06353056984414898, 0.121)","('EHEE_rd2_1236', -0.5910118970203111, 0.121)","('EHEE_rd2_0579', 0.6706478428593671, 0.109)","('EHEE_rd2_0171', -0.35785907468333594, 0.107)"
2036,Rocklin,EHEE_rd2_1138,EHEE,2,1.7862667701138004,0.17841873089650598,1.6078480392172945,25.714,0.382,25.332,1.4822307241330441,-0.311461360032399,1.5061816031198358,1.4917134576450706,2.76817550316962,-0.3546857849126635,2.76817550316962,2.76817550316962,"('EHEE_rd2_0747', -0.16290777626123154, 0.269)","('EHEE_rd2_0285', 0.4267984887840294, 0.199)","('EHEE_rd2_0089', 1.3628708022482343, 0.184)","('EHEE_rd2_1203', 0.20614843626833668, 0.166)","('EHEE_rd2_0216', -0.27263354552239594, 0.165)","('EHEE_rd2_1072', 1.7625063028631522, 0.162)","('EHEE_rd2_0800', 0.3844194927384625, 0.157)","('EHEE_rd2_0691', 0.6261439274044571, 0.142)","('EHEE_rd2_0246', 0.17730879783195844, 0.14)","('EHEE_rd2_0712', 0.62734170315899, 0.137)"
1390,Rocklin,EHEE_rd2_1072,EHEE,2,1.7625063028631522,0.2093815806406961,1.5531247222224562,26.121,0.575,25.546,1.431235015005464,-0.211145851550704,1.4653148526530935,1.4414551237912694,2.663150456010258,-0.26490368295617744,2.663150456010258,2.663150456010258,"('EHEE_rd2_0285', 0.4267984887840294, 0.166)","('EHEE_rd2_1123', -0.01033036895964308, 0.164)","('EHEE_rd2_1138', 1.7862667701138004, 0.162)","('EHEE_rd2_0712', 0.62734170315899, 0.116)","('EHEE_rd2_1166', -0.3743422149963997, 0.111)","('EHEE_rd1_0109', 0.07100042466129898, 0.108)","('EHEE_rd2_0954', 0.21249831951822665, 0.107)","('EHEE_rd2_0089', 1.3628708022482343, 0.105)","('EHEE_rd2_0096', 0.9047888297386412, 0.105)","('EHEE_rd1_0506', -0.1720094413135115, 0.101)"
